Date,Open,High,Low,Close,Adj Close,Volume
2021-12-02,117.370003,117.980003,116.559998,116.900002,104.114388,5267100
2021-12-03,117.360001,119.360001,117.360001,118.839996,105.842186,6630100
2021-12-06,119.400002,121.150002,119.400002,119.910004,106.795174,4785600
2021-12-07,120.480003,122.080002,120.070000,121.580002,108.282524,5194000
2021-12-08,122.000000,123.379997,121.519997,123.019997,109.565033,5483900
2021-12-09,122.150002,123.949997,121.790001,123.570000,110.054863,4601100
2021-12-10,124.300003,125.330002,123.360001,124.089996,110.517998,4966900
2021-12-13,123.760002,124.360001,120.790001,122.580002,109.173149,6847500
2021-12-14,122.349998,125.029999,122.300003,123.760002,110.224091,5716100
2021-12-15,123.800003,124.820000,122.180000,123.110001,109.645180,4990000
2021-12-16,123.510002,126.639999,123.480003,125.930000,112.156761,7280500
2021-12-17,125.870003,128.639999,125.209999,127.400002,113.465981,10379000
2021-12-20,125.720001,127.199997,124.699997,127.059998,113.163162,4941400
2021-12-21,127.660004,129.339996,127.660004,128.970001,114.864250,4856000
2021-12-22,129.059998,129.789993,127.599998,129.750000,115.558945,3923200
2021-12-23,130.000000,130.960007,129.520004,130.630005,116.342705,3649000
2021-12-27,130.630005,131.649994,129.949997,131.619995,117.224411,4293900
2021-12-28,131.600006,133.220001,131.589996,132.630005,118.123962,3445200
2021-12-29,132.399994,134.210007,132.300003,133.350006,118.765221,4239900
2021-12-30,133.750000,134.369995,133.330002,133.910004,119.263977,3158100
2021-12-31,134.000000,134.990005,133.610001,133.660004,119.041306,3362100
2022-01-03,134.070007,136.289993,133.630005,136.039993,121.160988,4605900
2022-01-04,136.100006,139.949997,135.899994,138.020004,122.924461,7300000
2022-01-05,138.309998,142.199997,137.880005,138.220001,123.102570,8956900
2022-01-06,138.199997,138.410004,132.509995,135.339996,120.537567,9908100
2022-01-07,134.899994,135.660004,133.509995,134.830002,120.083344,5238100
2022-01-10,134.470001,136.199997,133.380005,135.029999,120.261467,5432800
2022-01-11,130.520004,133.250000,127.970001,132.869995,118.337715,11105300
2022-01-12,133.250000,134.470001,131.369995,133.589996,118.978951,5352000
2022-01-13,133.899994,136.050003,133.559998,134.759995,120.020988,4868300
2022-01-14,134.550003,135.139999,133.300003,134.210007,119.531158,5310300
2022-01-18,132.949997,133.889999,131.779999,132.940002,118.400055,5246700
2022-01-19,132.899994,133.899994,131.500000,131.580002,117.188797,4103700
